Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2014-11-07,21.04,21.175,20.875,21.1,19.2209,4432000,0.0,0.0,0.0
2014-11-10,21.105,21.3125,21.0325,21.3,19.4031,5717600,0.0,0.0,0.0
2014-11-11,21.3325,21.4025,21.1975,21.35,19.4487,4769600,0.0,0.0,0.0
2014-11-12,21.09,21.375,21.0875,21.295,19.3985,5037200,0.0,0.0,0.0
2014-11-13,21.3575,21.56,21.0525,21.3525,19.4509,5434000,0.0,0.0,0.0
2014-11-14,21.3275,21.445,21.215,21.365,19.4623,4043200,0.0,0.0,0.0
2014-11-17,21.2375,21.4725,21.19,21.4075,19.501,4699200,0.0,0.0,0.0
2014-11-18,21.435,21.8925,21.435,21.7825,19.8426,4104400,0.0,0.0,0.0
2014-11-19,21.715,21.78,21.3875,21.6675,19.7379,4393200,0.0,0.0,0.0
2014-11-20,21.365,21.8275,21.35,21.79,19.8495,3308400,0.0,0.0,0.0
2014-11-21,22.4425,22.4675,21.9225,22.1475,20.1751,7063200,0.0,0.0,0.0
2014-11-24,22.3,22.3725,22.2175,22.325,20.3368,8334400,0.0,0.0,0.0
2014-11-25,22.42,22.5,22.185,22.285,20.3004,8815200,0.0,0.0,0.0
2014-11-26,22.3275,22.485,22.2475,22.445,20.4461,2822000,0.0,0.0,0.0
2014-11-28,22.3925,22.5075,22.205,22.305,20.3186,2486000,0.0,0.0,0.0
2014-12-01,22.04,22.0775,21.71,21.825,19.8814,4555200,0.0,0.0,0.0
2014-12-02,21.8425,22.325,21.84,22.2425,20.2617,2600400,0.0,0.0,0.0
2014-12-03,22.3,22.585,22.26,22.5,20.4962,4533600,0.0,0.0,0.0
2014-12-04,22.395,22.625,22.1225,22.415,20.4188,5350400,0.0,0.0,0.0
2014-12-05,22.4975,22.6925,22.4,22.535,20.5281,3882000,0.0,0.0,0.0
2014-12-08,22.39,22.5775,21.8675,22.0825,20.1159,4392000,0.0,0.0,0.0
2014-12-09,21.3575,22.0775,21.2125,22.025,20.0635,10628400,0.0,0.0,0.0
2014-12-10,21.85,21.8725,20.9075,20.9825,19.1139,8655600,0.0,0.0,0.0
2014-12-11,21.2075,21.9075,21.145,21.28,19.3849,7442800,0.0,0.0,0.0
2014-12-12,20.815,21.17,20.245,20.245,18.4421,7490400,0.0,0.0,0.0
